OID_,LandV_Num,Area,Site,LA_Year
25201,511581,0.149625465,Site31,1984
25202,1782629,0.192377486,Site31,1990
25203,162978,0.20319631,Site31,1975
25204,149923,0.166466942,Site31,1975
25205,1887051,0.194518919,Site31,1998
25206,2732987,0.387726333,Site31,2002
25207,3537537,0.222602466,Site31,2010
25208,852904,0.258845321,Site31,1986
25209,1971636,0.122081574,Site31,2004
25210,951145,0.148559693,Site31,1989
25211,3395319,0.174753109,Site31,2007
25212,123000,0.138939394,Site31,1975
25213,123832,0.150543099,Site31,1975
25214,2122080,0.116302896,Site31,2012
25215,556562,0.104899553,Site31,1984
25216,2642773,0.166116869,Site31,2005
25217,2446936,0.147473935,Site31,2003
25218,297522,0.136768391,Site31,1979
25219,199050,0.138672595,Site31,1978
25220,4160943,0.281811825,Site31,2013
25221,4160943,0.285415,Site31,2013
25222,1322408,0.225637535,Site31,2000
25223,2080471,0.1678238,Site18,2013
25224,437545,0.188351369,Site18,1979
25225,2613000,0.18154292,Site31,2006
25226,3063732,0.175869071,Site31,2014
25227,1824989,0.174612816,Site18,2012
25228,153082,0.174201437,Site18,1976
25229,808413,0.174205406,Site18,1993
25230,2675730,0.172913387,Site18,2012
25231,1068807,0.185815151,Site18,1994
25232,213306,0.353039291,Site18,1975
25233,118240,0.187135874,Site18,1975
25234,790783,0.199691579,Site18,1994
25235,2146452,0.231877009,Site18,2002
25236,1336540,0.174196692,Site18,2001
25237,2505993,0.174197023,Site18,2014
25238,862232,0.172926185,Site18,1997
25239,941977,0.192323187,Site18,1993
25240,674424,0.179310646,Site18,1998
25241,2202244,0.272261442,Site18,2003
25242,768439,0.162670828,Site18,1994
25243,274704,0.444836102,Site18,1977
25244,304379,0.068957835,Site18,1994
25245,458603,0.069195558,Site18,1998
25246,1038103,0.069184074,Site18,2011
25247,566007,0.06916862,Site18,1999
25248,257376,0.069155982,Site18,1986
25249,599004,0.069140719,Site18,2002
25250,1047738,0.069121276,Site18,2015
25251,915407,0.069119638,Site18,2013
25252,1200000,0.069093541,Site18,2016
25253,791933,0.069480518,Site18,2009
25254,88692,0.069800102,Site18,1982
25255,1343729,0.069063428,Site18,2006
25256,60449,0.069037258,Site18,1975
25257,410583,0.069021633,Site18,1998
25258,1134984,0.069018442,Site18,2005
25259,636991,0.086251256,Site18,1999
25260,336028,0.08621881,Site18,1984
25261,1664931,0.082759828,Site18,2014
25262,336794,0.082739728,Site18,1996
25263,287000,0.185815067,Site18,2007
25264,100008,0.185818604,Site18,1975
25265,1246560,0.185813657,Site18,2014
25266,697639,0.185814742,Site18,1987
25267,1909872,0.185805561,Site18,2012
25268,985740,0.185805073,Site18,1998
25269,2355284,0.185796142,Site18,2010
25270,420997,0.201387821,Site18,1996
