"Site","weighted_avarage_land_V"
"Site01",575872.51581708
"Site03",521843.29755259
"Site04",1198136.50196046
"Site05",560667.119745405
"Site07",753555.588578158
"Site08",795055.097442731
"Site09",308259.234057129
"Site10",305755.206025109
"Site11",25655669.317792
"Site12",462105.692519661
"Site13",665820.093721638
"Site14",265895.682288577
"Site15",371876.35638535
"Site16",894892.218319785
"Site17",388108.871376378
"Site18",777406.413601895
"Site19",773812.787485132
"Site20",1265990.59624303
"Site21",602466.099348359
"Site22",516581.637007301
"Site23",384166.387114788
"Site24",374968.520408489
"Site25",275768.691000575
"Site26",1392620.10053533
"Site27",231337.989122354
"Site28",396837.420655871
"Site29",356583.693126581
"Site32",1061861.64553503
"Site33",580039.284552823
"Site34",327305.627487904
"Site35",484933.856864164
"Site36",364818.278539103
"Site37",270800.272290859
"Site38",259758.94760779
"Site39",104732.613542678
"Site40",678196.557348125
"Site41",294966.507177592
"Site42",343573.899550991
"Site43",376607.671335055
"Site44",376066.173239137
"Site45",277381.36024892
"Site48",1346072.07181996
"Site49",157057.51407629
"Site50",427473.288781982
"Site51",289534.434250311
"Site52",333757.537619768
"Site53",848825.38320263
"Site54",392989.911363839
"Site55",673307.207701308
"Site56",256645.628735249
"Site57",766487.624589514
"Site59",177753.790922265
"Site60",938432.050294416
"Site61",321075.059398003
"Site62",855319.631985759
"Site63",260450.819755235
