OID_,SITE,ZONE_CODE,COUNT,AREA,MEAN
1,Site01,1,4174.000000000000000,0.000303146481562,73.816722568279943
2,Site03,2,4223.000000000000000,0.000306705220804,80.803930854842520
3,Site04,3,2823.000000000000000,0.000205026956744,40.876726886291152
4,Site05,4,4084.000000000000000,0.000296610021729,58.126346718903051
5,Site06,5,3430.000000000000000,0.000249111746947,48.844606413994157
6,Site07,6,3903.000000000000000,0.000283464474733,57.052779912887544
7,Site08,7,4214.000000000000000,0.000306051574821,72.956810631229274
8,Site09,8,4147.000000000000000,0.000301185543612,66.095731854352593
9,Site10,9,4213.000000000000000,0.000305978947489,65.989556135770286
10,Site11,10,4228.000000000000000,0.000307068357461,82.522705771050354
11,Site12,11,4227.000000000000000,0.000306995730130,71.715164419209856
12,Site13,12,2815.000000000000000,0.000204445938092,47.528596802841903
13,Site14,13,3364.000000000000000,0.000244318343070,53.491676575505295
14,Site15,14,4198.000000000000000,0.000304889537517,77.987136731776985
15,Site16,15,4225.000000000000000,0.000306850475467,85.554319526627225
16,Site17,16,4218.000000000000000,0.000306342084147,64.093409198672234
17,Site18,17,4207.000000000000000,0.000305543183500,62.268124554314184
18,Site19,18,4201.000000000000000,0.000305107419512,71.675791478219381
19,Site20,19,3881.000000000000000,0.000281866673441,50.261788198917827
20,Site21,20,4218.000000000000000,0.000306342084147,76.154575628259948
21,Site22,21,4153.000000000000000,0.000301621307601,72.232121358054258
22,Site23,22,4209.000000000000000,0.000305688438163,72.387740555951538
23,Site24,23,4192.000000000000000,0.000304453773528,45.649809160305409
24,Site25,24,4223.000000000000000,0.000306705220804,86.483305706843339
25,Site26,25,4218.000000000000000,0.000306342084147,60.568278805120926
26,Site27,26,4067.000000000000000,0.000295375357094,49.635849520531174
27,Site28,27,4140.000000000000000,0.000300677152292,54.841062801932424
28,Site29,28,4201.000000000000000,0.000305107419512,54.338490835515401
29,Site30,29,4193.000000000000000,0.000304526400860,49.043405676126923
30,Site31,30,4158.000000000000000,0.000301984444258,46.995430495430391
31,Site32,31,4220.000000000000000,0.000306487338810,85.936255924170581
32,Site33,32,4215.000000000000000,0.000306124202152,41.624673784104438
33,Site34,33,4104.000000000000000,0.000298062568359,54.711500974658939
34,Site35,34,4038.000000000000000,0.000293269164482,40.452451708766766
35,Site36,35,2708.000000000000000,0.000196674813625,36.036558345642526
36,Site37,36,4099.000000000000000,0.000297699431701,49.145889241278397
37,Site38,37,3934.000000000000000,0.000285715922009,43.527452974072126
38,Site39,38,4059.000000000000000,0.000294794338443,44.043360433604278
39,Site40,39,3941.000000000000000,0.000286224313329,67.034762750570920
40,Site41,40,4219.000000000000000,0.000306414711478,79.342735245318750
41,Site42,41,4077.000000000000000,0.000296101630409,60.821682609762107
42,Site43,42,4016.000000000000000,0.000291671363189,51.446962151394388
43,Site44,43,3594.000000000000000,0.000261022629308,57.121313299944148
44,Site45,44,3795.000000000000000,0.000275620722934,48.259815546772181
45,Site46,45,3542.000000000000000,0.000257246008072,47.479672501411734
46,Site47,46,2528.000000000000000,0.000183601893960,36.123022151898788
47,Site48,47,4221.000000000000000,0.000306559966141,55.770670457237586
48,Site49,48,4185.000000000000000,0.000303945382208,52.645400238948660
49,Site50,49,4230.000000000000000,0.000307213612124,61.041607565011866
50,Site51,50,4211.000000000000000,0.000305833692826,63.347423414865773
51,Site52,51,4161.000000000000000,0.000302202326253,73.268685412160423
52,Site53,52,3414.000000000000000,0.000247949709644,36.547451669595780
53,Site54,53,3543.000000000000000,0.000257318635403,50.802709568162498
54,Site55,54,4203.000000000000000,0.000305252674174,68.866761836783127
55,Site56,55,4225.000000000000000,0.000306850475467,73.717396449704225
56,Site57,56,4239.000000000000000,0.000307867258107,64.047652748289863
57,Site58,57,4223.000000000000000,0.000306705220804,68.046412502960052
58,Site59,58,4206.000000000000000,0.000305470556169,67.002139800285377
59,Site60,59,4228.000000000000000,0.000307068357461,50.881031220435133
60,Site61,60,4216.000000000000000,0.000306196829484,75.253557874762706
61,Site62,61,4226.000000000000000,0.000306923102798,58.403218173213332
62,Site63,62,4222.000000000000000,0.000306632593472,75.616769303647345
